#TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing)
A,1password-cli,"1Password command line tool"
,acpid,"A daemon for delivering ACPI power management events with netlink support"
,adobe-source-han-sans-otc-fonts,"Adobe Source Han Sans - Pan-CJK OpenType/CFF Collection fonts"
,alsa-utils,"Advanced Linux Sound Architecture - Utilities"
,android-file-transfer,"Android MTP client with minimalistic UI"
,android-tools,"Android platform tools"
,anki,"Helps you remember facts (like words/phrases in a foreign language) efficiently"
,arandr,"is a UI for screen adjustment."
A,artha,"A free cross-platform English thesaurus based on WordNet"
,aspell-de,"German dictionary for aspell"
A,audio-recorder,"Audio Recorder Application"
,bat,"Cat clone with syntax highlighting and git integration"
A,bcompare,"Beyond Compare 4: Compare, sync, and merge files and folders"
,blueman,"GTK+ Bluetooth Manager"
,bluez-utils,"Development and debugging utilities for the bluetooth protocol stack"
,chromium,"A web browser built for speed, simplicity, and security"
A,clion,"C/C++ IDE. Free 30-day trial."
,deluge-gtk,"GTK UI for Deluge"
,dex,"Program to generate and execute DesktopEntry files of type Application"
,d-feet,"D-Bus debugger for GNOME"
A,direnv,"a shell extension that manages your environment"
,discord,"All-in-one voice and text chat for gamers that's free and secure."
,docker-compose,"Fast, isolated development environments using Docker"
A,duc,"A library and suite of tools for inspecting disk usage."
,dunst,"is a suckless notification system."
,emacs,"The extensible, customizable, self-documenting real-time display editor"
,entr,"Run arbitrary commands when files change"
A,evince-no-gnome,"GTK3 document viewer, complete features, no gnome dependencies"
,exa,"ls replacement"
,exfat-utils,"allows management of FAT drives."
A,expressvpn,"Proprietary VPN client for Linux"
,fd,"Simple, fast and user-friendly alternative to find"
,flameshot,"Powerful yet simple to use screenshot software"
,fwupd,"Simple daemon to allow session software to update firmware"
,fzf,"is a fuzzy finder tool."
,grub,"GNU GRand Unified Bootloader (2)"
A,htop-vim-git,"Interactive text-mode process viewer. Patched for vim keybindings"
,i3blocks,"Define blocks for your i3bar status line"
A,insync,"An unofficial Google Drive and OneDrive client that runs on Linux, with support for various desktops"
A,intellij-idea-ultimate-edition,"An intelligent IDE for Java, Groovy and other programming languages with advanced refactoring features intensely focused on developer productivity."
,iputils,"Network monitoring tools, including ping"
,jfsutils,"JFS filesystem utilities"
,jq,"Command-line JSON processor"
,julia,"High-level, high-performance, dynamic programming language"
,jupyterlab,"JupyterLab computational environment"
,keychain,"A front-end to ssh-agent, allowing one long-running ssh-agent process per system, rather than per login"
,kitty,"A modern, hackable, featureful, OpenGL-based terminal emulator"
,licenses,"Standard licenses distribution package"
A,lightdm-settings,"A configuration tool for the LightDM display manager"
,linux-lts-headers,"Headers and scripts for building modules for the LTS Linux kernel"
,lxappearance,"Feature-rich GTK+ theme switcher of the LXDE Desktop"
,make,"GNU make utility to maintain groups of programs"
,man-db,"lets you read man pages of programs."
,man-pages,"Linux man pages"
,neovim,"a tidier vim with some useful features"
,network-manager-applet,"Applet for managing network connections"
,networkmanager-openconnect,"NetworkManager VPN plugin for OpenConnect"
,networkmanager-vpnc,"NetworkManager VPN plugin for VPNC"
,newsboat,"is a terminal RSS client."
A,noto-fonts-emoji-apple,"Google Noto emoji fonts replaced with apple branded emoji, modified form a magisk module"
,nvidia,"NVIDIA drivers for linux"
,opam,"OCaml package manager"
A,optimus-manager-qt,"A Qt interface for Optimus Manager that allows to configure and switch GPUs on Optimus laptops using the tray menu"
A,otf-hasklig,"A font with symbol ligatures, intended for Haskell code"
A,otf-inconsolata-powerline-git,"Inconsolata for Powerline"
,pamixer,"is a command-line audio interface."
,pass,"Stores, retrieves, generates, and synchronizes passwords securely"
,patch,"A utility to apply patch files to original sources"
,pavucontrol,"PulseAudio Volume Control"
A,pinta,"Drawing/editing program modeled after Paint.NET. It's goal is to provide a simplified alternative to GIMP for casual users"
A,pmount,"mount removable devices as normal user"
,powertop,"A tool to diagnose issues with power consumption and power management"
,pulseeffects,"Audio Effects for Pulseaudio Applications"
,pulsemixer,"is an audio controller."
,qemu,"A generic and open source machine emulator and virtualizer"
,ranger,"Simple, vim-like file manager"
,rofi,"A window switcher, application launcher and dmenu replacement"
,rustup,"The Rust toolchain installer"
A,sc-im,"is an Excel-like terminal spreadsheet manager."
,socat,"is a socket utility."
A,spotify,"A proprietary music streaming service"
,sshfs,"FUSE client based on the SSH File Transfer Protocol"
,s-tui,"Terminal UI stress test and monitoring tool"
,sxhkd,"Simple X hotkey daemon"
,sxiv,"is a minimalist image viewer."
A,task-spooler,"queues commands or files for download."
A,teamviewer,"All-In-One Software for Remote Support and Online Meetings"
,tldr,"Command line client for tldr, a collection of simplified and community-driven man pages."
A,tlpui-git,"A GTK user interface for TLP written in Python"
A,toggldesktop,"Toggl time tracking software"
,ttf-inconsolata,"Monospace font for pretty code listings and for the terminal"
,ttf-joypixels,"Emoji as a Service (formerly EmojiOne)"
,ttf-linux-libertine,"provides the sans and serif fonts for LARBS."
,ttf-opensans,"Sans-serif typeface commissioned by Google"
A,ttf-symbola,"Font for symbol blocks of the Unicode Standard (TTF)"
,unclutter,"hides an inactive mouse."
,urlscan,"Mutt and terminal url selector"
A,uuid,"OSSP Universally Unique Identifier"
,virtualbox,"Powerful x86 virtualization for enterprise as well as home use"
A,visual-studio-code-bin,"Visual Studio Code (vscode): Editor for building and debugging modern web and cloud applications (official binary version)"
A,vivaldi,"An advanced browser made with the power user in mind."
,vlc,"Multi-platform MPEG, VCD/DVD, and DivX player"
,wireless_tools,"Tools allowing to manipulate the Wireless Extensions"
,xautolock,"An automatic X screen-locker/screen-saver"
,xbindkeys,"Launch shell commands with your keyboard or your mouse under X"
,xcape,"gives the special escape/super mappings of LARBS."
,xf86-input-synaptics,"Synaptics driver for notebook touchpads"
,xorg-server-xvfb,"Virtual framebuffer X server"
,xorg-xbacklight,"enables changing screen brightness levels."
,xorg-xev,"Print contents of X events"
,xorg-xinit,"starts the graphical server."
,xorg-xinput,"Small commandline tool to configure devices"
,xorg-xlsfonts,"List available X fonts"
,xwallpaper,"sets the wallpaper."
,yad,"A fork of zenity - display graphical dialogs from shell scripts or command line"
,yarn,"Fast, reliable, and secure dependency management"
A,yay,"Yet another yogurt. Pacman wrapper and AUR helper written in go."
A,zoom,"Video Conferencing and Web Conferencing Service"
A,zsh-zplugin-git,"Flexible Zsh plugin manager with clean fpath, reports, completion management, turbo mode"
